DICTIONARY OVERLAP REVIEW - ALL 26,721 WORDS
============================================================

SUMMARY:
Total overlapping words: 26,721
Found in first names: 21,430
Found in last names: 13,512
Found in both: 8,221

CLAUDE'S RECOMMENDATIONS:
SUGGESTED REMOVALS: 78 words
SUGGESTED KEEPS: 26643 words
UNCERTAIN/NEED REVIEW: 15 words

REMOVE (78 words):
----------------------------------------
  arm         , bed         , bike        , blue        , boat        , buffalo     , bus         , cat         , chest       , cow         
  fear        , fearer      , fearing     , fears       , feast       , feaster     , feather     , featherman  , feathers    , febres      
  february    , feck        , fed         , fedia       , fedora      , fee         , feeler      , feely       , feer        , fees        
  feest       , feh         , fei         , feil        , feis        , feist       , fele        , felicity    , feline      , felis       
  felix       , fell        , fella       , fellah      , feller      , fellers     , felling     , fellon      , fellows     , fells       
  felly       , felon       , fels        , felt        , felter      , feltman     , felts       , felty       , fem         , femme       
  fen         , fender      , fendy       , fennec      , fennel      , fenner      , fennig      , fenny       , fenrir      , fenster     
  fent        , fenter      , fer         , feral       , ferd        , fere        , feres       , fergus      , ferguson    , feria       
  ferial      , ferias      , ferio       , ferlie      , ferly       , fermail     , ferme       , fermi       , fern        , fernando    
  ferns       , ferny       , ferox       , ferr        , ferrara     , ferrarese   , ferreiro    , ferrel      , ferren      , ferrer      
  ferri       , ferrier     , ferries     , ferring     , ferris      , ferrum      , ferry       , ferryman    , fers        , fertil      
  feru        , fess        , fest        , festa       , fester      , festers     , feston      , festy       , fet         , feta        
  fetch       , fete        , fets        , fetter      , fetters     , fetting     , feu         , feucht      , feud        , fever       
  fewer       , fey         , fez         , fezzy       , ff          , ffa         , fg          , fgn         , fi          , fiacre      
  fiador      , fianna      , fiat        , fiber       , fibro       , fickle      , fico        , fictor      , ficus       , fid         
  fidalgo     , fiddler     , fide        , fidel       , fidele      , fidelia     , fidelio     , fidelis     , fidelity    , fides       
  fidget      , fidia       , fido        , fidos       , fie         , fiel        , field       , fielden     , fielder     , fielding    
  fieldman    , fields      , fierce      , fieri       , fiesta      , fiestas     , fife        , fifer       , fifie       , fifo        
  fifth       , fig         , figaro      , figgy       , fight       , figo        , figs        , figura      , figures     , figurine    
  fiji        , fijian      , fike        , fikie       , fil         , fila        , filander    , filar       , filate      , filbert     
  filea       , filer       , files       , filet       , fili        , filial      , filipina    , filippi     , filippo     , filius      
  filix       , fill        , filla       , fille       , filler      , fillers     , filling     , fillip      , fillips     , fillmore    
  filly       , filmer      , filo        , filosa      , fils        , filter      , filters     , fin         , final       , finale      
  finance     , financing   , finca       , fincas      , finch       , finder      , finders     , findy       , fine        , finer       
  fines       , finesse     , finest      , fingal      , fingerlings , fingers     , fini        , fining      , finish      , finisher    
  fink        , finkel      , finks       , finland     , finn        , finnan      , finner      , finnish     , finny       , fino        
  fins        , fionnuala   , fioretti    , fiorin      , fique       , fir         , fire        , fireball    , fireman     , fireplace   
